Engineering,Engineer Intern,EI,"Designation bestowed by individual state boards, examination (FE) by National Council of Examiners for Engineering and Surveying[29]",
Engineering,Engineer-in-Training,EIT,"Designation bestowed by individual state boards, examination (FE) by National Council of Examiners for Engineering and Surveying[29]",
Engineering,National Institute For Certification In Engineering Technologies,NICET I/II/III/IV,"Also, TT, AET, ET, SET, or simply CET (technicians) – CT, CET (technologists)",
Engineering,Certified Engineering Technician,CET,,
Engineering,Member of the National Academy of Engineering,MNAE,,
Engineering,Student Member of the Institute of Electrical and Electronics Engineers,StMIEEE,,
Engineering,Graduate Student Member of the Institute of Electrical and Electronics Engineers,GSMIEEE,,
Engineering,Associate Member of the Institute of Electrical and Electronics Engineers,AMIEEE,,
Engineering,Member of the Institute of Electrical and Electronics Engineers,MIEEE,,
Engineering,Senior Member of the Institute of Electrical and Electronics Engineers,SMIEEE,,
Engineering,Fellow of the Institute of Electrical and Electronics Engineers,FIEEE,,
Engineering,Member of the American Institute of Chemical Engineers,MAIChE,,
Engineering,Senior Member of the American Institute of Chemical Engineers,SMAIChE,,
Engineering,Fellow of the American Institute of Chemical Engineers,FAIChE,,
Engineering,Senior Member of the Institute of Industrial Engineers,SIIE,,
Engineering,Certified Drafter,CD,,
Engineering,"Distinguished Member, American Society of Civil Engineers",Dist.M.ASCE,"A person who has attained eminence in some branch of engineering or in the arts and sciences related thereto, including the fields of engineering education and construction.[30]",
Engineering,"Fellow, American Society of Civil Engineers",F.ASCE,A prestigious honor held by 3% of ASCE members.[31],
Engineering,"Member, American Society of Civil Engineers",M.ASCE,[32],
Engineering,"Associate, American Society of Civil Engineers",A.M.ASCE,[32],
Engineering,"Affiliate, American Society of Civil Engineers",Aff.M.ASCE,[32],
Engineering,"Student Member, American Society of Civil Engineers",S.M.ASCE,[33],
Genealogy,Accredited Genealogist,AG,"Accreditation by International Commission for the Accreditation of Professional Genealogists, examination by ICAPGen[34]",
Genealogy,Accredited Genealogist Lecturer,AGL,"Accreditation by International Commission for the Accreditation of Professional Genealogists, examination by ICAPGen[34]",
Genealogy,Certified Genealogist,CG,"Certification by Board for Certification of Genealogists, examination by BCG[35]",
Genealogy,Certified Genealogical Lecturer,CGL,"Certification by Board for Certification of Genealogists, examination by BCG[35]",
"Geology, soil science, and other earth sciences",Professional Geologist,PG,"Licensure by individual state boards, examination by National Association of State Boards of Geology[36]",
"Geology, soil science, and other earth sciences",Geologist-in-Training,GIT,"Licensure by individual state boards, examination by National Association of State Boards of Geology[36]",
"Geology, soil science, and other earth sciences",Certified Professional Geologist,CPG,American Institute of Professional Geologists[37],
"Geology, soil science, and other earth sciences",Professional Hydrologist,PH,Designation bestowed by the Society for Certification of Hydrology Professionals[38],
"Geology, soil science, and other earth sciences",Associate Professional Soil Scientist,APSS,"Designation bestowed by the Soil Science Society of America Soils Certifying Board,[39] examination by the Soil Science Society of America Council of Soil Science Examiners",
"Geology, soil science, and other earth sciences",Certified Professional Soil Classifier,CPSC,"Designation formerly bestowed by the Soil Science Society of America Soils Certifying Board,[39] examination by the Soil Science Society of America Council of Soil Science Examiners",
"Geology, soil science, and other earth sciences",Certified Professional Soil Scientist,CPSS,"Designation bestowed by the Soil Science Society of America Soils Certifying Board,[39] examination by the Soil Science Society of America Council of Soil Science Examiners",
"Geology, soil science, and other earth sciences","Licensed Professional Soil Scientist, or similar",LPSS,"Lincensure by individual state boards,[40] examination by the Soil Science Society of America Council of Soil Science Examiners",
Geospatial and surveying,Certified Photogrammetrist,CP,American Society for Photogrammetry and Remote Sensing (ASPRS),
Geospatial and surveying,Geographic Information Systems Professional,GISP,GIS Certification Institute (GISCI),
Geospatial and surveying,Professional Land Surveyor,PLS,"Licensure by individual state boards, examination by National Council of Examiners for Engineering and Surveying[41]",
Geospatial and surveying,Surveying Intern,SI,"Designation bestowed by individual state boards, examination (FS) by National Council of Examiners for Engineering and Surveying[29]",
Geospatial and surveying,Model Law Surveyor,MLS,Designation bestowed by National Council of Examiners for Engineering and Surveying[42],
Geospatial and surveying,Professional Surveyor & Mapper,PSM,,
Geospatial and surveying,Registered Land Surveyor,RLS,,
Geospatial and surveying,Land Surveyor Intern,LSI,,
Geospatial and surveying,Land Surveyor-in-Training,LSIT,,
Geospatial and surveying,Certified Federal Surveyor,CFedS,,
Government,Certified Environmental Authority Supervisor,CEAS,,
Government,Credentialed Manager,ICMA-CM,,
Government,Certified Government Chief Information Officer[43],CGCIO,,
Government,Certified Municipal Clerk,CMC,,
Government,Certified Municipal Finance Officer,CMFO,,
Government,Certified Municipal Official (MO),CMO,,
Government,Certified Public Manager,CPM,,
Government,Certified Public Works Manager (NJ),CPWM,,
Government,Certified Tax Assessor (NJ),CTA,,
Government,Certified Tax Collector (NJ),CTC,,
Government,Professional County Collector,PCC,,
Government,Qualified Purchasing Agent (NJ),QPA,,
Government,Registered Municipal Accountant,RMA,,
Government,Registered Municipal Clerk (NJ),RMC,,
Government,Registered Public Purchasing Official (NJ),RPPO,,
Government,Registered Public Purchasing Specialist (NJ),RPPS,,
"Hospitality, tourism and recreation",Aquatic Facility Operator,AFO,National Recreation & Park Association,
"Hospitality, tourism and recreation",Designated Aquatics Professional,AqP,Association of Aquatic Professionals,
"Hospitality, tourism and recreation",Certified Meeting Professional,CMP,Convention Industry Council,
"Hospitality, tourism and recreation",Certified in Exhibition Management,CEM,International Association of Exhibitions and Events,
"Hospitality, tourism and recreation",Certified Hospitality Digital Marketer,CHDM,Hospitality Sales and Marketing International,
"Hospitality, tourism and recreation",Certified Revenue Management Executive,CRME,Hospitality Sales and Marketing International,
"Hospitality, tourism and recreation",Certified in Hospitality Business Acumen,CHBA,Hospitality Sales and Marketing International,
"Hospitality, tourism and recreation",Certified in Hospitality Sales Competences,CHSC,Hospitality Sales and Marketing International,
"Hospitality, tourism and recreation",Certified Hospitality Sales Executive,CHSE,Hospitality Sales and Marketing International,
"Hospitality, tourism and recreation",Certified Ganjier,CG,The Ganjier Cannabis Sommelier Certification Program,
"Hospitality, tourism and recreation",Certified Guest Service Professional,CGSP,American Hotel & Lodging Association Educational Institute,
"Hospitality, tourism and recreation",Certified Hospitality Administrator,CHA,American Hotel & Lodging Association Educational Institute,
"Hospitality, tourism and recreation",Certified Hospitality Educator,CHE,American Hotel & Lodging Association Educational Institute,
"Hospitality, tourism and recreation",Certified Hospitality Instructor,CHI,American Hotel & Lodging Association Educational Institute,
"Hospitality, tourism and recreation",Certified Room Division Executive,CRDE,American Hotel & Lodging Association Educational Institute,
"Hospitality, tourism and recreation",Certified Hospitality Revenue Manager,CHRM,American Hotel & Lodging Association Educational Institute,
"Hospitality, tourism and recreation",Certified Lodging Security Director,CLSD,American Hotel & Lodging Association Educational Institute,
"Hospitality, tourism and recreation",Certified Interpretive Guide,CIG,National Association for Interpretation,
"Hospitality, tourism and recreation",Certified Park & Recreation Professional,CPRP,National Recreation & Park Association,
"Hospitality, tourism and recreation",Certified Park & Recreation Executive,CPRE,National Recreation & Park Association,
"Hospitality, tourism and recreation",Certified Playground Safety Inspector,CPSI,National Recreation & Park Association,
"Hospitality, tourism and recreation",Certified Special Events Professional,CSEP,International Live Events Association,
"Hospitality, tourism and recreation",Certified Specialist of Spirits,CSS,Society of Wine Educators,
"Hospitality, tourism and recreation",Certified Specialist of Wine,CSW,Society of Wine Educators,
"Hospitality, tourism and recreation",Certified Spirits Educator,CSE,Society of Wine Educators,
"Hospitality, tourism and recreation",Certified Youth Sports Administrator,CYSA,National Association of Youth Sports,
"Hospitality, tourism and recreation",Certified Wedding and Event Planner,CWEP,"The Wedding Planning Institute, a division of Lovegevity",
"Hospitality, tourism and recreation",Certified Wedding Planner,CWP,The Bridal Society,
"Hospitality, tourism and recreation",Certified Wine Educator,CWE,Society of Wine Educators,
"Hospitality, tourism and recreation",Digital Events Strategist,DES,Professional Convention Management Association,
"Hospitality, tourism and recreation",Master Sommelier,MS,The Court of Master Sommeliers,
Human resources professions,SHRM Certified Professional,SHRM-CP,,
Human resources professions,SHRM Senior Certified Professional,SHRM-SCP,,
Human resources professions,Certified Benefits Professional,CBP,,
Human resources professions,Certified Compensation Professional,CCP,,
Human resources professions,Global Remuneration Professional,GRP,,
Human resources professions,Associate Professional in Human Resources,aPHR,,
Human resources professions,Professional in Human Resources,PHR,,
Human resources professions,Professional in Human Resources – California,PHRca,,
Human resources professions,Senior Professional in Human Resources,SPHR,,
Human resources professions,Global Professional in Human Resources,GPHR,,
Human resources professions,Certified Employee Benefits Specialist,CEBS,,
Human resources professions,Group Benefits Associate,GBA,,
Human resources professions,Compensation Management Specialist,CMS,,
Human resources professions,Retirement Plans Associate,RPA,,
Human resources professions,Certification in Volunteer Administration,CVA,,
Human resources professions,Certified in Conflict Manager,CCM,,
Insurance industry,Accredited Claims Adjuster,ACA,,
Insurance industry,Accredited Claims Professional,ACP,,
Insurance industry,Accredited Claims Professional Candidate,ACAc,,
Insurance industry,Associate in Claims,AIC,,
Insurance industry,Applied Microbial Remediation Technician,AMRC,,
Insurance industry,Casualty General Adjuster,CGA,,
Insurance industry,Certified Claims Adjuster,CCA,,
Insurance industry,Certified Claims Professional,CCP,,
Insurance industry,Certified Claims Professional Candidate,CCPc,,
Insurance industry,Chartered Property Casualty Underwiter,CPCU,,
Insurance industry,Chartered Property Casualty Underwriter candidate,CPCUc,,
Insurance industry,Certied Forensic Litigation Consultant,CFLC,,
Insurance industry,Certified General Adjuster,CrtGA,,
Insurance industry,Certified Mold Specialist,CMS,,
Insurance industry,Certified Mold Inspector,CMI,,
Insurance industry,Certified Property Appraiser and Umpire,CPAU,,
Insurance industry,Certified Property Loss Appraiser,CPLA,,
Insurance industry,Certified Property Loss Umpire,CPLU,,
Insurance industry,Casualty General Adjuster,CGA,,
Insurance industry,Certified General Adjuster,CrtGA,,
Insurance industry,Casualty General Adjuster,CGA,,
Insurance industry,Executive General Adjuster,EGA,,
Insurance industry,Fire & Smoke Restoration Technician,FSRT,,
Insurance industry,GrandMaster General Adjuster,GMGA,,
Insurance industry,HAAG Engineering Certified Roofing Inspector Residential/Commercial,HCI-R/C,,
Insurance industry,Insurance Claims Expert,ICE,,
Insurance industry,Legal Principles Claims Specialist,LPCS,,
Insurance industry,Master General Adjuster,MGA,,
Insurance industry,Master Public Adjuster,MPA,,
Insurance industry,Property Claims Law Associate,PCLA,,
Insurance industry,Property General Adjuster,PGA,,
Insurance industry,Registered General Adjuster,RGA,,
Insurance industry,Senior Professional Public Adjuster,SPPA,,
Insurance industry,Universal Claims Certification,UCC,,
Insurance industry,Windstorm Insurance Network Professional,WIND-P,,
Insurance industry,Water Remediaton Technician,WRT,,
IT industry,Certified Computer Examiner,CCE,,
IT industry,Certified Digital Marketing Professional,CDMP,,
IT industry,Certified Chief Information Security Officer,CCISO,,
IT industry,Certified Cloud Security Knowledge,CCSK,,
IT industry,Certified Ethical Hacker,CEH,,
IT industry,Certified Green IT Professional,IFGICT,,
IT industry,Certified Forensic Computer Examiner,CFCE,,
IT industry,CyberSec First Responder,CFR,,
IT industry,Certified in the Governance of Enterprise IT,CGEIT,,
IT industry,Certified in Cybersecurity,CC,,
IT industry,Certified Information Professional,CIP,,
IT industry,Certified Information Systems Auditor,CISA,,
IT industry,Certified Information Security Manager,CISM,,
IT industry,Certified Information Systems Security Professional,CISSP,,
IT industry,Certified Network Professional,CNP,,
IT industry,Certified in Risk and Information Systems Control,CRISC,,
IT industry,Certified Scrum Master,CSM,,
IT industry,Certified Scrum Professional,CSP,,
IT industry,Certified Scrum Product Owner,CSPO,,
IT industry,Certified Speaking Professional,CSP,,
IT industry,Certified Secure Computer User,CSCU,,
IT industry,Certified Secure Software Lifecycle Professional,CSSLP,,
IT industry,Certified Software Tester,CSTE,,
IT industry,Certified Technology Specialist,CTS,,
IT industry,Certified Virtualization Professional,CVP,,
IT industry,Certified Wireless Network Administrator,CWNA,,
IT industry,Certified Wireless Analysis Professional,CWAP,,
IT industry,Certified Wireless Design Professional,CWDP,,
IT industry,Certified Wireless Security Professional,CWSP,,
IT industry,Certified Wireless Network Expert,CWNE,,
IT industry,Comptia Advanced Security Practitioner,CASP,,
IT industry,Cisco Certified DevNet Associate,CCDevA,,
IT industry,Cisco Certified DevNet Professional,CCDevP,,
IT industry,Cisco Certified Network Associate,CCNA,,
IT industry,Cisco Certified Network Professional,CCNP,,
IT industry,Cisco Certified Internetworking Expert,CCIE,,
IT industry,CyberSAFE,CBS,,
IT industry,Cyber Secure Coder,CSC,,
IT industry,Certified Usability Analyst,CUA,,
IT industry,Certified User Experience Analyst,CXA,,
IT industry,Google Associate Cloud Engineer,ACE,,
IT industry,Lean IT Kaizen,LITK,,
IT industry,Lean IT Leadership,LITL,,
IT industry,Lean IT Professional,LITP,,
IT industry,Master of Library and Information Science,MLIS,,
IT industry,Master Mobile Application Developer,MMAD,,
IT industry,Master of Mobile Application Security,MMAS,,
IT industry,Microsoft Certified Database Administrator,MCDBA,,
IT industry,Microsoft Certified Professional,MCP,,
IT industry,Microsoft Certified Professional Developer,MCPD,,
IT industry,Microsoft Certified Solutions Associate,MCSA,,
IT industry,Microsoft Certified Solutions Developer,MCSD,,
IT industry,Microsoft Certified Solutions Expert,MCSE,,
IT industry,Microsoft Certified Systems Administrator,MCSA,,
IT industry,Microsoft Certified Systems Engineer,MCSE,,
IT industry,Microsoft Certified Trainer,MCT,,
IT industry,Modern Certified Classroom Trainer,MCCT,,
IT industry,Offensive Security Certified Professional,OSCP,,
IT industry,Oracle Certified Associate,OCA,,
IT industry,Oracle Certified Professional,OCP,,
IT industry,Oracle Certified Master,OCM,,
IT industry,PMI Agile Certified Practitioner,PMI-ACP,,
IT industry,Professional Scrum Master I,PSM I,,
IT industry,Professional Scrum Master II,PSM II,,
IT industry,Professional Scrum Master III,PSM II,,
IT industry,Red Hat Certified Architect,RHCA,,
IT industry,Registered Communication Distribution Designer,RCDD,,
IT industry,SAFe Agilist,SA,,
IT industry,SAFe Advanced Scrum Masters,SASM,,
IT industry,Training from the BACK of the Room Certified Trainer,TBR-CT,,
IT industry,User Experience Certification,UXC,,
IT industry,User Experience Master Certification,UXMC,,
IT industry,VMware Certified Professional,VCP,,
IT industry,Zend Certified Engineer (PHP),ZCE,,
Law,Juris Doctor,J.D.,"An academic, not a professional designation. Identifies a person who has obtained the academic degree Juris Doctor or Doctor of Jurisprudence, which are different names for the same professional degree in law. Arizona discourages use of the initials by people who are not members of the Arizona Bar, in case that might mislead the general public in thinking the person is licensed; and other U.S. jurisdictions may do likewise. However, this may be unenforceable on First Amendment grounds and because the letters indicate an academic degree not a professional qualification to practice law.",
Law,Doctor of Jurisprudence,D.Jur. or J.D.,"An academic, not a professional designation. Identifies a person who has obtained the academic degree Doctor of Jurisprudence – functionally the same degree as Juris Doctor but conferred in English instead of Latin. Although conferred in English, the degree may be abbreviated in Latin (viz., compare Latin Ed.D. used for either Doctor of Education or Educationis Doctor; and M.D., used for both Medicinae Doctor and Doctor of Medicine, the latter which can also be abbreviated D.M.).",
Law,Doctor of Juridical Science,S.J.D.,"An academic, not a professional designation. Identifies a person who has obtained the academic degree Scientiae Juridicae Doctor. It is academically the equivalent of a Ph.D.[44] and is designed for aspiring legal academics who wish to pursue sustained independent study, research, and writing.[45]",
Law,Master of Laws,LL.M.,"An academic, not a professional designation. Identifies a person who has obtained the degree Legum Magister. Originally the second of three degrees in sequence – Legum Baccalaureus (LL.B., last conferred by an American law school in 1970); LL.M.; and Legum Doctor (LL.D.) or Doctor of Laws, which has only been conferred in the United States as an honorary degree but is an earned degree in other countries. In American legal academia, the LL.M. was historically conferred after the LL.B. When the LL.B. was displaced by the J.D., the LL.M. metamorphosed functionally from a post-baccalaureate degree into a post-doctoral degree.",
